scripture_name,level_1,level_2,level_3,name,type,description,child_type,media_path
RigVeda,6,NULL,NULL,Mandala - 6,Mandala,"75 hymns, mainly to Agni and Indra, all the gods, Pusan, Ashvin, Usas, etc. Most hymns in this book are attributed to the barhaspatya family of Angirasas.",Sukta,0
RigVeda,7,NULL,NULL,Mandala - 7,Mandala,"104 hymns, to Agni, Indra, the Visvadevas, the Maruts, Mitra-Varuna, the Asvins, Ushas, Indra-Varuna, Varuna, Vayu (the wind), two each to Sarasvati (ancient river/goddess of learning) and Vishnu, and to others. Most hymns in this book are attributed to vasistha maitravaruni.",Sukta,0
RigVeda,8,NULL,NULL,Mandala - 8,Mandala,Few Somay?gas,Sukta,0
RigVeda,9,NULL,NULL,Mandala - 9,Mandala,"114 hymns, entirely devoted to Soma Pavamana, the cleansing of the sacred potion of the Vedic religion.",Sukta,0
RigVeda,10,NULL,NULL,Mandala - 10,Mandala,"191 hymns, addressed to Agni, Indra and various other deities. Nadistuti sukta is in praise of rivers and is important for the reconstruction of the geography of the Vedic civilization. The Purusha sukta has great significance in Hindu social tradition. Nasadiya sukta (10.129) deals with creation. The marriage hymns (10.85) and the death hymns (10.10-18) are important in the performance of corresponding Grhya rituals.",Sukta,0
SamaVeda,1,NULL,NULL,Purvarchika,Archikah,First part or section of the Samaveda Samhita. The Purvarchika contains a collection of hymns and verses drawn from the Rigveda. These hymns are rearranged and adapted to be sung with specific melodies during the Soma rituals. The primary purpose of the Purvarchika is to provide the musical notations and chants used by the udgātṛ priests during the Soma sacrifice.,Sukta,0
SamaVeda,2,NULL,NULL,Mahanamnyarchikah,Archikah,This Archika occurs between the first part of the Samaveda and the second part. It consists of only ten verses. They form some of the sublimest prayers of the Veda,Sukta,0
SamaVeda,3,NULL,NULL,Uttarchika,Archikah,"Refers to the second part or section of the Samaveda Samhita. The Uttararchika builds upon the foundation laid by the Purvarchika. It contains additional chants and melodies, expanding the repertoire of the Samavedic hymns. The Uttararchika is a continuation of the musical and ritualistic content, providing further variations and elaborations for the performance of the Soma sacrifice. ",Sukta,0
ShuklaYajurVeda,1,NULL,NULL,Adhyaya - 1,Adhyaya,"It has 31 verses. It includes the following:
•	Darśapurṇamāsa sacrifices
•	Tyāga-vrata
•	Bringing water and purifying it
•	Spreading the deer-skin
•	Preparing cooked rice
•	Driving away the demons and evil spirits
",Mantra,0
ShuklaYajurVeda,2,NULL,NULL,Adhyaya - 2,Adhyaya,"It has 34 verses. It includes the following:
•	Purifying the samidh and kuśa grass
•	Lighting the fire
•	Keeping the implements in their respective places
•	Prayer for the protection of the sacrifice
•	Putting the samidhs into the fire
•	Keep away a part of the offering for the demons
•	Mantras for getting offspring
",Mantra,0
ShuklaYajurVeda,3,NULL,NULL,Adhyaya - 3,Adhyaya,"It has 63 verses. It includes the following topics:
•	Agnyādhāna
•	Agnihotra
•	Eulogy of the cow
•	Sāvitrīmantra
•	Worship of the other fires like the āhavanīya
•	The dīkṣā of the sacrificer
•	Worship of Rudra, the three-eyed God
",Mantra,0
ShuklaYajurVeda,4,NULL,NULL,Adhyaya - 4,Adhyaya,It has 37 verses. It delineates about the Somayāga and some of its details.,Mantra,0
ShuklaYajurVeda,5,NULL,NULL,Adhyaya - 5,Adhyaya,It has 43 verses. It includes the details of the preparation for the Somayāga. They include preparation of soma juice and placing of the appropriate vessels.,Mantra,0
ShuklaYajurVeda,6,NULL,NULL,Adhyaya - 6,Adhyaya,"It has 37 verses. It includes the following:
•	Erecting the yupastambha
•	Tying the animal to it
•	Bali
•	Mantras for sending it to heaven
",Mantra,0
ShuklaYajurVeda,7,NULL,NULL,Adhyaya - 7,Adhyaya,"It has 48 verses. It describes about the billing the soma juice in various cups meant for the various deities like Indra, Vāyu, Mitra, Varuṇa and others.",Mantra,0
ShuklaYajurVeda,8,NULL,NULL,Adhyaya - 8,Adhyaya,"It has 63 verses. It describes the following:
•	Continuation of the previous topics
•	Some Soma sacrifices like Soḍaśin, Dvādaśin and Gavāmayana
",Mantra,0
ShuklaYajurVeda,9,NULL,NULL,Adhyaya - 9,Adhyaya,"It has 40 verses. Vājapeya and Rājasuya, two well- known and popular sacrifices of those days, are described here.",Mantra,0
ShuklaYajurVeda,10,NULL,NULL,Adhyaya - 10,Adhyaya,It has 34 verses. Description of the Rājasuyayāga is continued here.,Mantra,0
ShuklaYajurVeda,11,NULL,NULL,Adhyaya - 11,Adhyaya,It has 83 verses. A detailed description of Agnicayana is started from this chapter right up to the 18th chapter.,Mantra,0
ShuklaYajurVeda,12,NULL,NULL,Adhyaya - 12,Adhyaya,"It has 117 verses. Topics of this chapter are:
•	Viṣṇukrama - taking 4 steps with appropriate mantras
•	Vaṇīvāhana rite - coming and going of fire kept in a vessel on a cart
•	Purification of the place
•	Bringing the bricks
•	Others
",Mantra,0
ShuklaYajurVeda,13,NULL,NULL,Adhyaya - 13,Adhyaya,"It has 153 verses. They describe in detail the building up the altar with 10,008 bricks in four layers in the form of a bird with its wings stretched.",Mantra,0
ShuklaYajurVeda,14,NULL,NULL,Adhyaya - 14,Adhyaya,"It has 153 verses. They describe in detail the building up the altar with 10,008 bricks in four layers in the form of a bird with its wings stretched.",Mantra,0
ShuklaYajurVeda,15,NULL,NULL,Adhyaya - 15,Adhyaya,"It has 153 verses. They describe in detail the building up the altar with 10,008 bricks in four layers in the form of a bird with its wings stretched.",Mantra,0
ShuklaYajurVeda,16,NULL,NULL,Adhyaya - 16,Adhyaya,It has 66 verses. The entire chapter contains the famous Rudrādhyāya. It is used in the Satarudrīya homa. ,Mantra,0
ShuklaYajurVeda,17,NULL,NULL,Adhyaya - 17,Adhyaya,"It has 99 verses. The topics described are:
•	Ascending the vedi
•	Inviting the Fire-god
•	Offering madhuparka
•	Praising Agni and Indra
•	Pouring of milk
•	Few more rites
",Mantra,0
ShuklaYajurVeda,18,NULL,NULL,Adhyaya - 18,Adhyaya,"It has 77 verses. This contains the mantras used in vasordhārā, an oblation of ghee poured in a continuous stream into the fire on the altar.",Mantra,0
ShuklaYajurVeda,19,NULL,NULL,Adhyaya - 19,Adhyaya,"It has 95 verses. The topics dealt with are:
•	The Sautrāmaṇi sacrifice
•	Offering milk to the deities the Aśvins, Indra and Sarasvati
•	Offering wine, after purifying with mantras, into the dakṣiṇāgni
•	Praising the pitṛs[11] like the Agniṣvattas
•	Story of Indra being rejuvenated by the Aśvins
",Mantra,0
ShuklaYajurVeda,20,NULL,NULL,Adhyaya - 20,Adhyaya,"It has 90 verses. The subjects of this chapter are:
•	Mantra for one’s welfare
•	Avabhṛtha
•	Mantra for destruction of sins
•	Giving sacrificial food to Indra
•	Chanting of the Āprisuktas
•	Inviting Indra
•	Hymns to the Aśvins, Sarasvatī and Agni
",Mantra,0
ShuklaYajurVeda,21,NULL,NULL,Adhyaya - 21,Adhyaya,"It has 60 verses. This contains the following topics:
•	Hymns to Varuṇa and Agni
•	Worship of Aditi the mother of gods
•	Oblations to Mitrā-Varuṇa
•	Chanting of Indrasukta
•	Conclusion of the Sautrāmaṇi sacrifice
",Mantra,0
ShuklaYajurVeda,22,NULL,NULL,Adhyaya - 22,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,23,NULL,NULL,Adhyaya - 23,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,24,NULL,NULL,Adhyaya - 24,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,25,NULL,NULL,Adhyaya - 25,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,26,NULL,NULL,Adhyaya - 26,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,27,NULL,NULL,Adhyaya - 27,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,28,NULL,NULL,Adhyaya - 28,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,29,NULL,NULL,Adhyaya - 29,Adhyaya,"It has 34 verses. The topic of the Aśvamedha sacrifice is begun here and continues with the details through Chapters 23, 24, and 25, 26, 27, 28 and 29. The topics described here are:
•	Various minor sacrifices
•	Conclusion of Aśvamedha sacrifice
•	Hymn to the horse and the Sun-god identifying the two as one
•	Eulogy of the weapons of war
",Mantra,0
ShuklaYajurVeda,30,NULL,NULL,Adhyaya - 30,Adhyaya,It has 22 verses. Chapter 31 has 22 verses. The sacrifice called Puruṣamedha is described here with 184 varieties of living beings as the offering. Scholars however describe it as only symbolical.,Mantra,0
ShuklaYajurVeda,31,NULL,NULL,Adhyaya - 31,Adhyaya,It has 22 verses. Chapter 31 has 22 verses. The sacrifice called Puruṣamedha is described here with 184 varieties of living beings as the offering. Scholars however describe it as only symbolical.,Mantra,0
ShuklaYajurVeda,32,NULL,NULL,Adhyaya - 32,Adhyaya,"It has 16 verses. Chapter 33 has 97 verses. These deal with the sacrifice called Sarvamedha. Along with the praise of the sacrificer there is a prayer for granting knowledge, wisdom and wealth. There are several mantras and yajus in praise of several deities.",Mantra,0
ShuklaYajurVeda,33,NULL,NULL,Adhyaya - 33,Adhyaya,"It has 16 verses. Chapter 33 has 97 verses. These deal with the sacrifice called Sarvamedha. Along with the praise of the sacrificer there is a prayer for granting knowledge, wisdom and wealth. There are several mantras and yajus in praise of several deities.",Mantra,0
ShuklaYajurVeda,34,NULL,NULL,Adhyaya - 34,Adhyaya,"It has 58 verses. The first six mantras are known as the Śivasañkalpopaniṣad. This is followed by some details of a few sacrifices and hymns of praise of the deities Bhaga, Puṣan and Brahmaṇaspati.",Mantra,0
ShuklaYajurVeda,35,NULL,NULL,Adhyaya - 35,Adhyaya,It has 22 verses. Pitṛmedha mantras are the chief content here.,Mantra,0
ShuklaYajurVeda,36,NULL,NULL,Adhyaya - 36,Adhyaya,It has 86 verses. These contain the mantras connected with the Pravargya rite. ,Mantra,0
ShuklaYajurVeda,37,NULL,NULL,Adhyaya - 37,Adhyaya,It has 86 verses. These contain the mantras connected with the Pravargya rite. ,Mantra,0
ShuklaYajurVeda,38,NULL,NULL,Adhyaya - 38,Adhyaya,It has 86 verses. These contain the mantras connected with the Pravargya rite. ,Mantra,0
ShuklaYajurVeda,39,NULL,NULL,Adhyaya - 39,Adhyaya,It has 86 verses. These contain the mantras connected with the Pravargya rite. ,Mantra,0
ShuklaYajurVeda,40,NULL,NULL,Adhyaya - 40,Adhyaya,"It has 18 verses. This is the famous Iśāvāsya Upaniṣad. Some important aspects of the teaching of the Samhitā are:
•	Meticulous performance of the Vedic sacrifices was considered the highest puruṣārtha.
•	Even the gods got special powers by performing sacrifices.
•	Mantras are very powerful, if chanted correctly and will harm if chanted wrongly, the power being dependent on the correctness of chanting.
",Mantra,0
RigVeda,1,1,NULL,Sukta - 1,Sukta,"The seer invokes Agni, the lord of the spiritual will & the bestower of seer",Mantra,1
RigVeda,1,2,NULL,Sukta - 2,Sukta,"The seer invokes Vayu-Indra-Mitra-Varuna; the lords of life, mind, harmony and vastness; to partake in Soma (the distilled delight of the seer's experience) and work on the seer's vital and mental being",Mantra,1
RigVeda,1,3,NULL,Sukta - 3,Sukta,"The seer invokes Ashwins to partake in the Soma and provide swiftness to the desired action, calls Indra so that right action is performed rightly, invokes the Vishvedevah (All-Gods) to come & support the Yajna and invokes Saraswati to provide the Truth illumination",Mantra,1
RigVeda,1,4,NULL,Sukta - 4,Sukta,The seer calls Indra to reveal and grow His manifold powers in him according to his Madhuchchhanda Vaiswamitra and his son Jeta. In the spiritual status,Mantra,1
RigVeda,1,5,NULL,Sukta - 5,Sukta,"The delight (Soma) and the chants (Stoma) of the seer increase the activity of Indra, and act as a source of protection",Mantra,1
RigVeda,1,6,NULL,Sukta - 6,Sukta,"The seer gives a description of Indra's chariot, symbolizing the movement of the Divine mind. The Maruts (Truth-powers of will & thought characterized by their fierce speed & brilliance) are born in the seer after Indra and they break the barriers for His movement",Mantra,1
RigVeda,1,7,NULL,Sukta - 7,Sukta,"Indra battles Vritra (the concealer), breaks the hills of Ignorance with the rays of knowledge and raises the Sun of inner illumination",Mantra,1
RigVeda,1,8,NULL,Sukta - 8,Sukta,"Indra brings the victory and associated felicities for the seeker, He brings the inner illumination through the goddess Mahi",Mantra,1
RigVeda,1,9,NULL,Sukta - 9,Sukta,"The seer prays to Indra to impel the wealth of consciousness towards him and himself towards that wealth, a play of ascent and descent. The seer aspires for a universal and undecaying life",Mantra,1
RigVeda,1,10,NULL,Sukta - 10,Sukta,"The spiritual journey is realised as a progress from peak to peak, with Indra answering the human aspiration and guiding the seeker towards the goal ",Mantra,1
RigVeda,1,11,NULL,Sukta - 11,Sukta,Indra destroys foes like Vala (the enclosure of Ignorance) and Shushna (the one who dries up the sap of things) and bestows his plentiful and varied gifts,Mantra,1
RigVeda,1,12,NULL,Sukta - 12,Sukta,"Agni is the envoy who invites other Gods, He is the remover of afflictions and demonic forces, He is the purifier and the bestower of felicity",Mantra,1
RigVeda,1,13,NULL,Sukta - 13,Sukta,"Agni is born as the son of the aspirant, takes the seat in his heart, He becomes the speech of the seer-poet and calls and assumes the forms of the other Gods",Mantra,1
RigVeda,1,14,NULL,Sukta - 14,Sukta,A prayer to Agni to bring all the Gods in the Yajna (the yogic sacrifice) along with their Shaktis so that they can consume the Soma (the essence/delight of the existence) and do their appointed work,Mantra,1
RigVeda,1,15,NULL,Sukta - 15,Sukta,The Gods drink the Soma only at the appropriate time & season (i.e. according to the aspirant's progress) & then guide the aspirant in the adhvara (pilgrim- journey). The seer aspires for the wealth of the spirit and the station of the Gods,Mantra,1
RigVeda,1,16,NULL,Sukta - 16,Sukta,The Seer's inner being is ready for the arrival of Indra's Chariot (the movement of the Divine mind) with its luminous steeds,Mantra,1
RigVeda,1,17,NULL,Sukta - 17,Sukta,Varuna (the lord of vastness) is called along with Indra to increase their manifestation in the subtle being of the seer & provide the vast riches of the spirit,Mantra,1
RigVeda,1,18,NULL,Sukta - 18,Sukta,"The aspirant prays to Brahmanaspati (the Lord of the mantra or speech that measures the vasts of reality), Indra, Soma and Dakshina (the intuitive power of discrimination) to guard him from all mortal fears and harm. The aspirant has already realised Sadasapati (a form of the Agni that makes the movements harmonious) in his being, he has already seen the Narashamsa (celebrated) form of Agni",Mantra,1
RigVeda,1,19,NULL,Sukta - 19,Sukta,Agni is called upon to come along with the mighty Maruts (the lords of the fierce will for Truth in the midworld of life energies) to the Yajna (Inner sacrifice) so that no obstacle can stand in the course of its fulfilment,Mantra,1
RigVeda,1,20,NULL,Sukta - 20,Sukta,"The Rbhus (the artisans of immortality) are invoked to come and fashion the steeds of Indra (the life energies for the movement of the Divine mind) in the seeker. Rbhus are the powers of light descended in the material creation, facilitating the action of Gods here. They establish a perfect expression of the 7 principles of manifestation in the 3 (mental, vital & physical) bodies of the seeker ",Mantra,1
RigVeda,1,21,NULL,Sukta - 21,Sukta,"Agni and Indra (Lords of spiritual will & Divine mind) are called to drink the Soma (delight of self-giving in the Yajna), kill the Rakshasa (demonic forces), and prepare the way for the arrival of Mitra (Lord of Harmony)",Mantra,1
RigVeda,1,22,NULL,Sukta - 22,Sukta,"Ashwins (the divine physicians who make the being capable of enjoyment) are called to the Yajna (the inner sacrifice) followed by Savitr (the Spiritual Sun of Truth). The spouses (executive powers) of the Gods are also called to effectuate the desired action.
The dyauh (mental heavens) and prithvi (earth consciousness) are both asked to nourish the seeker.
Finally Vishnu's (the one who pervades everything) three steps are mentioned, which manifest and uphold the sevenfold existence. The wise seers continuously see the supreme step of Vishnu, the highest heaven, & they light up the path to that supreme station for the other seekers",Mantra,1
